route,id,name,lat,lon,type,altitude,height,width
SBSP-VP-006 (Parallel 1),3,Geometric GN_144,-23.621466646799245,-46.676353438144154,Geometric Node,1219,305,457
SBSP-VP-006 (Parallel 1),4,Geometric GN_143,-23.613248832428837,-46.686955696062455,Geometric Node,1219,305,457
SBSP-VP-006 (Parallel 1),5,PONTE_ESTAIADA,-23.61110674293165,-46.69642324860169,Waypoint,1219,305,457
SBSP-VP-006 (Parallel 1),6,Geometric GN_128,-23.58520676091455,-46.68941775648687,Geometric Node,1219,305,457
SBSP-VP-006 (Parallel 1),7,Geometric GN_129,-23.56982770155641,-46.698579749295924,Geometric Node,1219,305,457
SBSP-VP-006 (Parallel 1),8,Geometric GN_130,-23.559333763197618,-46.70481052519657,Geometric Node,1219,305,457
SBSP-VP-006 (Parallel 1),9,PONTE_JAGUARE,-23.54328833441581,-46.734521887724945,Waypoint,1219,305,457
SBSP-VP-006 (Parallel 1),10,VP-006,-23.5466666666667,-46.7369444444444,Vertiport,760,305,457
SBSP-VP-006 (Parallel 2),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-006 (Parallel 2),2,WASHINGTON_LUIS,-23.63665850041658,-46.669733867925274,Waypoint,1219,305,457
SBSP-VP-006 (Parallel 2),3,Geometric GN_144,-23.624653353200753,-46.67996656185584,Geometric Node,1219,305,457
SBSP-VP-006 (Parallel 2),4,Geometric GN_143,-23.617431167571162,-46.68928430393754,Geometric Node,1219,305,457
SBSP-VP-006 (Parallel 2),5,PONTE_ESTAIADA,-23.61444881262395,-46.702465640287116,Waypoint,1219,305,457
SBSP-VP-006 (Parallel 2),6,Geometric GN_128,-23.58583507177885,-46.69472612387613,Geometric Node,1219,305,457
SBSP-VP-006 (Parallel 2),7,Geometric GN_129,-23.57201626216759,-46.702958606197676,Geometric Node,1219,305,457
SBSP-VP-006 (Parallel 2),8,Geometric GN_130,-23.562630800377182,-46.70853122413583,Geometric Node,1219,305,457
SBSP-VP-006 (Parallel 2),9,PONTE_JAGUARE,-23.54837833225079,-46.73492255671946,Waypoint,1219,305,457
SBSP-VP-006 (Parallel 2),10,VP-006,-23.5466666666667,-46.7369444444444,Vertiport,760,305,457
SBGR-SBMT (Parallel 1),1,SBGR,-23.435556,-46.473056,Airport,760,305,457
SBGR-SBMT (Parallel 1),2,DUMONT,-23.473696062246297,-46.479965480183,Waypoint,914.4,305,457
SBGR-SBMT (Parallel 1),3,BARRAGEM_TIETE,-23.49303503774274,-46.54928049261596,Waypoint,914.4,305,457
SBGR-SBMT (Parallel 1),4,PONTE_ARICANDUVA,-23.51568515204849,-46.567643578337446,Waypoint,914.4,305,457
SBGR-SBMT (Parallel 1),5,SHOPPING_TATUAPE,-23.528639113561262,-46.581531783014945,Waypoint,914.4,305,457
SBGR-SBMT (Parallel 1),6,BRAS,-23.541391879053826,-46.615651952175185,Waypoint,1219,305,457
SBGR-SBMT (Parallel 1),7,SBMT,-23.509,-46.633,Airport,760,305,457
